"","login","id"
"1","6a68",96396
"2","ameihm0912",9889986
"3","amuntner",4481467
"4","andymckay",74699
"5","AutomatedTester",128518
"6","callahad",24193
"7","campd",613063
"8","chuckharmston",23885
"9","clouserw",80098
"10","cpeterso",629193
"11","cvan",203725
"12","davehunt",122800
"13","davidascher",51278
"14","davidbgk",3556
"15","ddurst",395920
"16","digitarald",8599
"17","diox",187006
"18","disnet",2362
"19","dmose",425657
"20","dougt",435591
"21","ekr",1111457
"22","erikrose",295816
"23","eviljeff",768592
"24","floatingatoll",92684
"25","fox2mike",117655
"26","fwenzel",87232
"27","gavinsharp",327839
"28","gdestuynder",956866
"29","gene1wood",1134034
"30","gerv",299746
