"","login","id","contributions"
"1","cvan",203725,3836
"2","andymckay",74699,2874
"3","robhudson",1106,1695
"4","ngokevin",674727,1393
"5","diox",187006,1250
"6","potch",253470,1167
"7","clouserw",80098,1098
"8","kumar303",55398,1060
"9","jbalogh",57258,907
"10","washort",947487,850
"11","davedash",59497,615
"12","gkoberger",381393,606
"13","mattbasta",279498,595
"14","spasovski",391260,459
"15","chuckharmston",23885,353
"16","oremj",45590,292
"17","mstriemer",211578,250
"18","milupo",1248520,218
"19","muffinresearch",1514,190
"20","jasonthomas",910992,163
"21","fwenzel",87232,151
"22","eviljeff",768592,149
"23","wraithan",90898,106
"24","jaredkerim",119884,100
"25","petercpg",205738,93
"26","koehlermichael",4557779,84
"27","ujdhesa",1289252,84
"28","davidbgk",3556,82
"29","kmaglione",125842,80
"30","cesperanc",7354098,80
