name,stars,forks,open_issues
zamboni,471,255,14
tuxedo,11,9,5
kitsune,321,318,3
mozregression,62,54,2
bleach,929,97,37
zamboni-lib,15,9,2
popcorn-js,1922,555,137
django-product-details,18,18,9
input-lib,7,5,1
mozmill,86,74,0
addon-sdk,652,314,59
redis-centos,3,1,0
django-csp,70,23,7
byob,1,1,0
plugindir,3,4,1
firefox-sync-appengine,5,2,0
mozmill-dashboard,12,10,1
secret-squirrel,3,2,0
FlightDeck,35,19,0
doozer,8,6,1
Firefox-UI-Heatmap,0,2,0
happyforms,15,5,1
django-recaptcha,21,10,2
django-piston,64,48,0
openwebapps,285,142,3
testpilot-analysis,0,1,0
bespinserver,6,1,0
weaveserver-obsolote,0,1,0
personas,2,2,0
bespinclient,13,8,0
